scenario,nstage1,n_resp1,stage1_time,prob_pos,decision,fa_n,fa_time,fa_p,event,hr,lower95,upper95,median_surv_1,median_surv_2
1,60,17,23.83828463049075,0.7513552232616026,Expansion,120,73.6876044245,0.7718014029534583,88,1.1728855202740978,0.7705762097637286,1.785236069110466,8.347856224779136,9.186417003914901
1,60,13,19.167849409410504,0.30907298823794616,Expansion,120,66.521439118,0.04702990779756806,88,0.6987739806374624,0.4583409152263553,1.0653316337136982,5.652904963087401,10.565937834121728
1,60,16,15.771938887432514,0.6519263407068582,Expansion,120,55.9290619365,0.9299223536693505,88,1.3705585993849818,0.9000602594129304,2.087005680678914,9.326545604682062,6.272517796020537
1,60,10,18.68709975225779,0.07570694923912588,Failure,,,,,,,,,
1,60,14,19.643393189074217,0.4216548127032631,Expansion,120,66.5635546771,0.4833021528061077,88,0.9910902837558054,0.6518668553893513,1.5068413778584773,8.967851693781542,10.086191707422048
1,60,24,20.195852240136155,0.9955588312894457,Success,,,,,,,,,
1,60,14,21.4943524788416,0.4216548127032631,Expansion,120,67.7148973979,0.24273110174904927,88,0.8616962151004542,0.5669504046192296,1.309674287325244,6.965664523053556,9.525326728663469
1,60,14,20.455608571916926,0.4216548127032631,Expansion,120,60.509567791,0.8249977717044877,88,1.2222488565977787,0.8018066376995534,1.8631577704827593,10.34426539246224,5.16565055551336
1,60,14,21.483928202542234,0.4216548127032631,Expansion,120,72.6194455904,0.3559623291859748,88,0.9240726397154382,0.6076313859370336,1.4053096387604067,8.937173659732922,10.64185426725624
1,60,18,16.404496775838524,0.8323713497876907,Expansion,120,63.6990465108,0.8246025407284113,88,1.2208071124589883,0.8023021549094681,1.857616855084512,11.873190187928918,7.5658110770706735
1,60,12,20.565056524660243,0.2105638918307941,Expansion,120,65.6546309889,0.7758531919395408,88,1.17620763617379,0.7728577107706083,1.790063531893985,10.89072483900346,8.31814820579414
1,60,15,25.4258181819605,0.5392402738114812,Expansion,120,76.7404673051,0.42219012854726384,88,0.9587297076007695,0.629392956973712,1.460395516111007,11.166682428124876,10.903219391325466
1,60,15,27.30207638981582,0.5392402738114812,Expansion,120,78.3085251889,0.2356911432822978,88,0.8567617162542515,0.5623117439849811,1.305398022166395,8.92568332641999,8.827636661537856
1,60,7,22.25826294239828,0.007370120944325492,Failure,,,,,,,,,
1,60,17,21.860539283930784,0.7513552232616026,Expansion,120,74.3543878113,0.43207102970522426,88,0.9641220577107699,0.6343912594494456,1.4652335263432534,10.28385594269352,10.043716663940582
1,60,15,23.451450613039018,0.5392402738114812,Expansion,120,71.1187156281,0.34856750378212675,88,0.9201188693962229,0.6049375390218084,1.3995142956212914,7.79300199774026,9.053473432573732
1,60,17,17.515113194561902,0.7513552232616026,Expansion,120,65.7118595276,0.7533150290644643,88,1.1573861979796556,0.7615165133595976,1.7590463079574135,11.370128674542833,9.181697368056788
1,60,13,23.55255203156993,0.30907298823794616,Expansion,120,67.34215583,0.5023558448571801,88,1.001261378635713,0.658936025616218,1.5214289542144195,9.40013639806184,8.380437457714988
1,60,15,23.5550003407108,0.5392402738114812,Expansion,120,65.176245260300007,0.00507348274567702,88,0.577150127259687,0.3776250548809994,0.882097903966788,4.419363076224814,11.354493419681134
1,60,12,21.955806507127264,0.2105638918307941,Expansion,120,62.5110700261,0.9581435057511732,88,1.4505723188474702,0.9494693781991612,2.216143143233796,9.579415903985208,5.922891601362897
1,60,18,16.71289323180716,0.8323713497876907,Expansion,120,60.7840172149,0.9844124452162429,88,1.580985596533178,1.0385641470255766,2.4067030078054614,11.773983140937545,7.295426566924755
1,60,15,23.0550935671884,0.5392402738114812,Expansion,120,66.6199734146,0.44523415025624097,88,0.9708160612887421,0.6368814653212894,1.4798418170023666,9.252772815302585,7.247069848259116
1,60,15,17.015508763077143,0.5392402738114812,Expansion,120,61.2879281511,0.7482898288255517,88,1.1534434045101825,0.7590058670591697,1.7528608738729603,10.585223883809231,9.012833328778886
1,60,18,22.772773462853998,0.8323713497876907,Expansion,120,63.7323223883,0.663663364559477,88,1.0943661977106767,0.7201442698199827,1.6630520089968948,7.871542385206519,7.801665662201163
1,60,24,23.29923478653687,0.9955588312894457,Success,,,,,,,,,
1,60,17,23.038777400783324,0.7513552232616026,Expansion,120,71.667335670400007,0.13443531902074804,88,0.7898030427529227,0.5193211058555507,1.201162131306256,7.29978908759656,10.186603188210698
1,60,16,22.718394059257736,0.6519263407068582,Expansion,120,77.4255808696,0.23548920678863794,88,0.8575009552799823,0.5643309280602848,1.3029728688333253,8.556487341281999,11.209040165003573
1,60,16,22.01344298680523,0.6519263407068582,Expansion,120,67.1567116635,0.6146492664293903,88,1.064540329938277,0.6989986275826667,1.6212422590644826,9.235810050044396,8.867036729842713
1,60,12,24.3653348252888,0.2105638918307941,Expansion,120,63.0240938607,0.47852564962770666,88,0.9885521317972141,0.6501504170099859,1.5030911181678237,7.130046767453203,7.88261121112566
1,60,18,26.469739466134147,0.8323713497876907,Expansion,120,68.6212362947,0.7404441438406069,88,1.1475574571179978,0.754945301031259,1.7443490483194606,8.172772268618463,6.922564816866711
1,60,16,23.764183441516405,0.6519263407068582,Expansion,120,71.7009885328,0.8658036005768818,88,1.267329732312253,0.8322857121445676,1.9297755890391448,9.39092291649025,5.4035534118670805
1,60,13,17.950120368299686,0.30907298823794616,Expansion,120,70.606403556,0.8249718746085545,88,1.221191483967197,0.8025385050594146,1.8582393631114285,10.974109821335146,8.570450849457512
1,60,16,24.02435018194112,0.6519263407068582,Expansion,120,64.7200177867,0.45442727374463593,88,0.9757819419052179,0.641308767547928,1.484698863215151,9.428557671340556,9.339225305913178
1,60,11,17.1971951189713,0.1321586926495917,Expansion,120,58.7738145719,0.9416012597760233,88,1.397206337559047,0.9181098207152318,2.1263094083824976,9.874795721894433,6.955319651627054
1,60,17,19.04075018745597,0.7513552232616026,Expansion,120,65.3452880745,0.44415809636487713,88,0.9704074094133289,0.6380784917947341,1.4758224142543643,8.843784052642965,8.35829601865646
1,60,14,19.67425193262711,0.4216548127032631,Expansion,120,60.8087873103,0.22357046308101602,88,0.8500565976587897,0.5589206046491996,1.2928423343361393,6.094700040112792,8.534897688479758
1,60,15,21.782280120828453,0.5392402738114812,Expansion,120,71.9093374565,0.23518687862002852,88,0.8569707223967928,0.5633560606449752,1.3036139492392826,10.84767972976444,10.864579255629463
1,60,18,17.327611087960523,0.8323713497876907,Expansion,120,63.8966353651,0.43369624528734063,88,0.9647938953632715,0.6334504041140625,1.469455626651752,8.700996331445022,9.387257360263058
1,60,14,16.340156332678973,0.4216548127032631,Expansion,120,61.6553925202,0.78295108736338,88,1.181828314017921,0.7772226813677016,1.7970630519384687,8.739027746735028,7.521351129023364
1,60,16,19.181556686648474,0.6519263407068582,Expansion,120,66.4522543832,0.3436658719373819,88,0.9176930757542334,0.6039326485566255,1.3944610931367842,6.5967113311578895,5.694166434627849
1,60,8,25.30757125492849,0.01810573594021145,Failure,,,,,,,,,
1,60,16,24.404552464938313,0.6519263407068582,Expansion,120,69.9254592439,0.9020831567371682,88,1.3192646451251338,0.865843497650346,2.0101314020377337,7.487140202527596,4.588656610577609
1,60,13,21.729235322387435,0.30907298823794616,Expansion,120,61.6956795931,0.49189525984778915,88,0.9956658060455137,0.6548367070932523,1.5138894728866945,8.13013926524091,5.8605099679613515
1,60,17,25.279886954855492,0.7513552232616026,Expansion,120,69.164657169,0.4948851566211776,88,0.9972638896361825,0.6560131842211759,1.5160293870511277,9.558250574853234,8.42987612265652
1,60,9,20.00642870984603,0.039179350561765566,Failure,,,,,,,,,
1,60,15,18.035008557220916,0.5392402738114812,Expansion,120,81.6635467756,0.23083178710798052,88,0.854435951044697,0.5618048729872124,1.299491744448207,8.644081319922911,12.689675835781664
1,60,11,23.5752603611905,0.1321586926495917,Expansion,120,66.7749627685,0.35178315629092505,88,0.9219620868121668,0.6066034155455311,1.4012682219314738,6.779275391106066,8.823405637808445
1,60,16,21.09400931665413,0.6519263407068582,Expansion,120,64.3806111131,0.6042489414620595,88,1.0580645909080577,0.6962342756019725,1.6079367502634108,10.367500557455925,7.921581480111346
1,60,11,21.015015335428394,0.1321586926495917,Expansion,120,78.4423775521,0.2843559007934528,88,0.8855783784746651,0.5829587993033625,1.3452907227045845,8.337457464353093,9.256079529029792
1,60,20,23.013358184224543,0.9362709787185161,Success,,,,,,,,,
1,60,20,19.42906853023357,0.9362709787185161,Success,,,,,,,,,
1,60,14,23.30552795070121,0.4216548127032631,Expansion,120,70.6810693955,0.5254591939774956,88,1.013738308429703,0.6668848591812941,1.5409936870354743,9.605989272665925,11.041295609947285
1,60,18,19.46228049344271,0.8323713497876907,Expansion,120,60.4360910026,0.7759417262024583,88,1.1759888549198336,0.773214379253173,1.7885722562886317,9.282392976169621,7.13354060831963
1,60,16,18.044040014611763,0.6519263407068582,Expansion,118,64.393056886,0.17121546544552751,88,0.8152652492014645,0.5344105961216199,1.2437205238428037,6.915057430097553,7.215484090022192
1,60,15,15.88689679803543,0.5392402738114812,Expansion,120,64.2771054256,0.748409577226843,88,1.1534406850281855,0.7591870313854171,1.7524343262956394,8.933165700539623,5.924499774446625
1,60,15,20.29892762074093,0.5392402738114812,Expansion,120,63.2290428771,0.2211435128966946,88,0.8483449269640444,0.5574002119307031,1.2911532857384393,7.48460849746335,7.57981835038898
1,60,13,18.431829215800963,0.30907298823794616,Expansion,120,61.9531200887,0.6586087928186662,88,1.0913602359859869,0.7174924624090115,1.6600413622358212,9.105941978162738,7.396394284403674
1,60,14,17.41055938812407,0.4216548127032631,Expansion,120,59.1007814385,0.2402652444778927,88,0.8599535227342651,0.5652699522339316,1.30825998859573,8.724379528819432,9.633847511774755
1,60,16,15.9653995722516,0.6519263407068582,Expansion,120,58.3956003587,0.9775242887273943,88,1.541505523013494,1.0065521936059498,2.3607710485119346,10.840866145052807,8.394191224574879
1,60,12,21.124477508542327,0.2105638918307941,Expansion,120,65.7214669032,0.0949191465370674,88,0.7560833305383154,0.49711213879363325,1.149965889195931,4.441653977404419,8.779093485207078
1,60,18,20.293936012733827,0.8323713497876907,Expansion,120,66.998795425,0.9045430126244475,88,1.3238244247747626,0.86832665257538,2.018262485013489,7.835249411175718,5.397755754684782
1,60,13,20.394192331904584,0.30907298823794616,Expansion,120,68.5132506168,0.3856712980598174,88,0.939857162371797,0.6185280948630274,1.4281186141709203,8.305469397057713,10.504643475659657
1,60,10,17.073619568800236,0.07570694923912588,Failure,,,,,,,,,
1,60,11,20.86299518602224,0.1321586926495917,Expansion,120,63.6406863784,0.4279207932358429,88,0.9618204610464667,0.6319621076762457,1.4638513734458996,8.218761959089212,7.557018352171145
1,60,12,19.770724806941203,0.2105638918307941,Expansion,120,59.8956216093,0.5985974334227184,88,1.0549206518906815,0.6933513598649385,1.6050413198904518,7.585150049925988,7.38550384119545
1,60,12,20.294946059428266,0.2105638918307941,Expansion,120,64.8662325142,0.4817570998403068,88,0.9902734040629545,0.6514438701971776,1.505335240160619,6.599560221517061,6.552630220734958
1,60,11,25.876377044013687,0.1321586926495917,Expansion,120,68.2163160707,0.8241332427070879,88,1.220841809754673,0.8016320482088658,1.859275371756003,10.51731857042062,7.626150138161573
1,60,20,23.014399340326637,0.9362709787185161,Success,,,,,,,,,
1,60,17,21.00584804310071,0.7513552232616026,Expansion,120,68.2841237607,0.5100261442971841,88,1.0053821392737505,0.6615286205814364,1.527966008609345,10.124966475883475,12.424715795691563
1,60,13,18.47237232276947,0.30907298823794616,Expansion,120,68.9762325493,0.2557361807559002,88,0.8690791393666734,0.5714638618546745,1.3216908380365666,7.243234473179124,8.279492606995689
1,60,12,22.58338730149745,0.2105638918307941,Expansion,120,67.4168662137,0.2671151115089996,88,0.8751549749166337,0.574551564148126,1.3330330607608907,6.5584051720766885,9.989253190634578
1,60,8,16.152420807527882,0.01810573594021145,Failure,,,,,,,,,
1,60,17,19.428693521604,0.7513552232616026,Expansion,120,66.6664315087,0.11271542519520832,88,0.7717435090776276,0.5070287119510067,1.1746633469960197,7.339480290788716,10.34305695523968
1,60,10,14.39369634889487,0.07570694923912588,Failure,,,,,,,,,
1,60,14,22.75162553450771,0.4216548127032631,Expansion,120,74.5210230758,0.5178076787226518,88,1.0096042331338473,0.663649478206761,1.5359022210279187,8.485174273629008,10.765871445955653
1,60,9,21.733088226500413,0.039179350561765566,Failure,,,,,,,,,
1,60,15,19.38138122379298,0.5392402738114812,Expansion,120,65.4503427144,0.8927149241215847,88,1.3032063480211216,0.8567595701527406,1.9822910005192844,9.811504156424148,9.695478376064424
