scenario,orr1,rho1,n_ia,enrl_rate,orr0,mos0,mos1,rho2,lambda0,SOC/Non-Responder,SOC/Responder,TRT/Non-Responder,TRT/Responder,Relationship between ORR and OS
15,0.25,1,30,3,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
16,0.25,1,30,12,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
17,0.25,1,50,3,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
18,0.25,1,50,12,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
19,0.35,0.1,20,3,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
20,0.35,0.1,20,12,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
21,0.35,0.1,30,3,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
22,0.35,0.1,30,12,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
23,0.35,0.1,50,3,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
24,0.35,0.1,50,12,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
25,0.35,0.5,20,3,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
26,0.35,0.5,20,12,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
27,0.35,0.5,30,3,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
28,0.35,0.5,30,12,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
