scenario,nstage1,n_resp1,stage1_time,prob_pos,decision,fa_n,fa_time,fa_p,event,hr,lower95,upper95,median_surv_1,median_surv_2
1,60,17,23.83828463049075,0.7513552232616026,Failure,,,,,,,,,
1,60,13,19.167849409410504,0.30907298823794616,Failure,,,,,,,,,
1,60,16,15.771938887432514,0.6519263407068582,Failure,,,,,,,,,
1,60,10,18.68709975225779,0.07570694923912588,Failure,,,,,,,,,
1,60,14,19.643393189074217,0.4216548127032631,Failure,,,,,,,,,
1,60,24,20.195852240136155,0.9955588312894457,Success,,,,,,,,,
1,60,14,21.4943524788416,0.4216548127032631,Failure,,,,,,,,,
1,60,14,20.455608571916926,0.4216548127032631,Failure,,,,,,,,,
1,60,14,21.483928202542234,0.4216548127032631,Failure,,,,,,,,,
1,60,18,16.404496775838524,0.8323713497876907,Expansion,120,63.6990465108,0.8246025407284113,88,1.2208071124589883,0.8023021549094681,1.857616855084512,11.873190187928918,7.5658110770706735
1,60,12,20.565056524660243,0.2105638918307941,Failure,,,,,,,,,
1,60,15,25.4258181819605,0.5392402738114812,Failure,,,,,,,,,
1,60,15,27.30207638981582,0.5392402738114812,Failure,,,,,,,,,
1,60,7,22.25826294239828,0.007370120944325492,Failure,,,,,,,,,
1,60,17,21.860539283930784,0.7513552232616026,Failure,,,,,,,,,
1,60,15,23.451450613039018,0.5392402738114812,Failure,,,,,,,,,
1,60,17,17.515113194561902,0.7513552232616026,Failure,,,,,,,,,
1,60,13,23.55255203156993,0.30907298823794616,Failure,,,,,,,,,
1,60,15,23.5550003407108,0.5392402738114812,Failure,,,,,,,,,
1,60,12,21.955806507127264,0.2105638918307941,Failure,,,,,,,,,
1,60,18,16.71289323180716,0.8323713497876907,Expansion,120,60.7840172149,0.9844124452162429,88,1.580985596533178,1.0385641470255766,2.4067030078054614,11.773983140937545,7.295426566924755
1,60,15,23.0550935671884,0.5392402738114812,Failure,,,,,,,,,
1,60,15,17.015508763077143,0.5392402738114812,Failure,,,,,,,,,
1,60,18,22.772773462853998,0.8323713497876907,Expansion,120,63.7323223883,0.663663364559477,88,1.0943661977106767,0.7201442698199827,1.6630520089968948,7.871542385206519,7.801665662201163
1,60,24,23.29923478653687,0.9955588312894457,Success,,,,,,,,,
1,60,17,23.038777400783324,0.7513552232616026,Failure,,,,,,,,,
1,60,16,22.718394059257736,0.6519263407068582,Failure,,,,,,,,,
1,60,16,22.01344298680523,0.6519263407068582,Failure,,,,,,,,,
1,60,12,24.3653348252888,0.2105638918307941,Failure,,,,,,,,,
1,60,18,26.469739466134147,0.8323713497876907,Expansion,120,68.6212362947,0.7404441438406069,88,1.1475574571179978,0.754945301031259,1.7443490483194606,8.172772268618463,6.922564816866711
1,60,16,23.764183441516405,0.6519263407068582,Failure,,,,,,,,,
1,60,13,17.950120368299686,0.30907298823794616,Failure,,,,,,,,,
1,60,16,24.02435018194112,0.6519263407068582,Failure,,,,,,,,,
1,60,11,17.1971951189713,0.1321586926495917,Failure,,,,,,,,,
1,60,17,19.04075018745597,0.7513552232616026,Failure,,,,,,,,,
1,60,14,19.67425193262711,0.4216548127032631,Failure,,,,,,,,,
1,60,15,21.782280120828453,0.5392402738114812,Failure,,,,,,,,,
1,60,18,17.327611087960523,0.8323713497876907,Expansion,120,63.8966353651,0.43369624528734063,88,0.9647938953632715,0.6334504041140625,1.469455626651752,8.700996331445022,9.387257360263058
1,60,14,16.340156332678973,0.4216548127032631,Failure,,,,,,,,,
1,60,16,19.181556686648474,0.6519263407068582,Failure,,,,,,,,,
1,60,8,25.30757125492849,0.01810573594021145,Failure,,,,,,,,,
1,60,16,24.404552464938313,0.6519263407068582,Failure,,,,,,,,,
1,60,13,21.729235322387435,0.30907298823794616,Failure,,,,,,,,,
1,60,17,25.279886954855492,0.7513552232616026,Failure,,,,,,,,,
1,60,9,20.00642870984603,0.039179350561765566,Failure,,,,,,,,,
1,60,15,18.035008557220916,0.5392402738114812,Failure,,,,,,,,,
1,60,11,23.5752603611905,0.1321586926495917,Failure,,,,,,,,,
1,60,16,21.09400931665413,0.6519263407068582,Failure,,,,,,,,,
1,60,11,21.015015335428394,0.1321586926495917,Failure,,,,,,,,,
1,60,20,23.013358184224543,0.9362709787185161,Expansion,120,68.5354431111,0.6887070320541238,88,1.1112215185349053,0.7300157458187229,1.6914885334016465,7.886952270712222,9.676868717027869
1,60,20,19.42906853023357,0.9362709787185161,Expansion,120,60.889689146,0.44744479738282134,88,0.9721523578871777,0.6393964278015994,1.4780817750186925,8.340557244741563,8.05189781272426
1,60,14,23.30552795070121,0.4216548127032631,Failure,,,,,,,,,
1,60,18,19.46228049344271,0.8323713497876907,Expansion,120,60.4360910026,0.7759417262024583,88,1.1759888549198336,0.773214379253173,1.7885722562886317,9.282392976169621,7.13354060831963
1,60,16,18.044040014611763,0.6519263407068582,Failure,,,,,,,,,
1,60,15,15.88689679803543,0.5392402738114812,Failure,,,,,,,,,
1,60,15,20.29892762074093,0.5392402738114812,Failure,,,,,,,,,
1,60,13,18.431829215800963,0.30907298823794616,Failure,,,,,,,,,
1,60,14,17.41055938812407,0.4216548127032631,Failure,,,,,,,,,
1,60,16,15.9653995722516,0.6519263407068582,Failure,,,,,,,,,
1,60,12,21.124477508542327,0.2105638918307941,Failure,,,,,,,,,
1,60,18,20.293936012733827,0.8323713497876907,Expansion,120,66.998795425,0.9045430126244475,88,1.3238244247747626,0.86832665257538,2.018262485013489,7.835249411175718,5.397755754684782
1,60,13,20.394192331904584,0.30907298823794616,Failure,,,,,,,,,
1,60,10,17.073619568800236,0.07570694923912588,Failure,,,,,,,,,
1,60,11,20.86299518602224,0.1321586926495917,Failure,,,,,,,,,
1,60,12,19.770724806941203,0.2105638918307941,Failure,,,,,,,,,
1,60,12,20.294946059428266,0.2105638918307941,Failure,,,,,,,,,
1,60,11,25.876377044013687,0.1321586926495917,Failure,,,,,,,,,
1,60,20,23.014399340326637,0.9362709787185161,Expansion,120,71.8816367268,0.9667215973689615,88,1.4793645891305447,0.9710540212718508,2.253756783486611,9.757324815996515,4.947613744085126
1,60,17,21.00584804310071,0.7513552232616026,Failure,,,,,,,,,
1,60,13,18.47237232276947,0.30907298823794616,Failure,,,,,,,,,
1,60,12,22.58338730149745,0.2105638918307941,Failure,,,,,,,,,
1,60,8,16.152420807527882,0.01810573594021145,Failure,,,,,,,,,
1,60,17,19.428693521604,0.7513552232616026,Failure,,,,,,,,,
1,60,10,14.39369634889487,0.07570694923912588,Failure,,,,,,,,,
1,60,14,22.75162553450771,0.4216548127032631,Failure,,,,,,,,,
1,60,9,21.733088226500413,0.039179350561765566,Failure,,,,,,,,,
1,60,15,19.38138122379298,0.5392402738114812,Failure,,,,,,,,,
1,60,15,19.524954155533663,0.5392402738114812,Failure,,,,,,,,,
1,60,14,20.958286645214354,0.4216548127032631,Failure,,,,,,,,,
1,60,12,25.533498624436064,0.2105638918307941,Failure,,,,,,,,,
1,60,14,19.07016322043081,0.4216548127032631,Failure,,,,,,,,,
1,60,17,19.168101259837613,0.7513552232616026,Failure,,,,,,,,,
1,60,15,22.72960790463528,0.5392402738114812,Failure,,,,,,,,,
1,60,12,20.852808435767304,0.2105638918307941,Failure,,,,,,,,,
1,60,18,21.589213468434345,0.8323713497876907,Expansion,120,66.2540931889,0.5121622133059279,88,1.0065462155844784,0.6617300580811436,1.5310401450483921,7.647684370690892,6.415548112011912
1,60,15,17.583007915541685,0.5392402738114812,Failure,,,,,,,,,
1,60,11,30.623823847644566,0.1321586926495917,Failure,,,,,,,,,
1,60,20,21.814657465084387,0.9362709787185161,Expansion,120,73.3559651266,0.7180788692990314,88,1.1310897548777963,0.7442325688621386,1.719037955494934,12.231699280406033,12.39084694907847
1,60,15,18.165385146796567,0.5392402738114812,Failure,,,,,,,,,
1,60,13,20.149897225012648,0.30907298823794616,Failure,,,,,,,,,
1,60,18,20.897517684990568,0.8323713497876907,Expansion,120,65.1287286751,0.4399854874827206,88,0.9682471285546046,0.6369249464845629,1.4719198975148935,6.697724065940047,6.772869510145145
1,60,10,20.18342945587414,0.07570694923912588,Failure,,,,,,,,,
1,60,12,16.74026083438648,0.2105638918307941,Failure,,,,,,,,,
1,60,15,18.50784723570081,0.5392402738114812,Failure,,,,,,,,,
1,60,11,26.199281928761938,0.1321586926495917,Failure,,,,,,,,,
1,60,13,20.927112865921785,0.30907298823794616,Failure,,,,,,,,,
1,60,16,20.46905391028375,0.6519263407068582,Failure,,,,,,,,,
1,60,18,19.995344421795703,0.8323713497876907,Expansion,120,61.7200107003,0.5606825119471535,88,1.0332121225471151,0.6792875767343272,1.5715395463441992,8.471633484022044,8.474429483226203
1,60,17,22.073168800832946,0.7513552232616026,Failure,,,,,,,,,
1,60,23,16.59853375541752,0.9905251108216127,Success,,,,,,,,,
1,60,14,18.55368799020137,0.4216548127032631,Failure,,,,,,,,,
1,60,20,20.11272615678171,0.9362709787185161,Expansion,120,60.9536126413,0.7170815341688667,88,1.1307696789260142,0.7431449760904398,1.7205795745335593,8.596915293554027,7.794439507872399
1,60,18,18.998863336906272,0.8323713497876907,Expansion,120,71.4604163393,0.05151207557238514,88,0.7065370759110917,0.46437438051793634,1.0749831613884966,8.263212722181924,13.023946093819854
1,60,17,18.985740147417193,0.7513552232616026,Failure,,,,,,,,,
1,60,15,22.938113875648035,0.5392402738114812,Failure,,,,,,,,,
1,60,13,16.3016381370079,0.30907298823794616,Failure,,,,,,,,,
1,60,23,18.217159543753358,0.9905251108216127,Success,,,,,,,,,
1,60,13,22.62895008857206,0.30907298823794616,Failure,,,,,,,,,
1,60,16,19.25853408325357,0.6519263407068582,Failure,,,,,,,,,
1,60,18,27.882734784686463,0.8323713497876907,Expansion,120,72.5750145625,0.25558183509892735,88,0.8683803520747336,0.5698063709629683,1.3234047113145497,7.617368695556592,9.642657788647211
1,60,15,17.04993476928039,0.5392402738114812,Failure,,,,,,,,,
1,60,14,22.6752603839848,0.4216548127032631,Failure,,,,,,,,,
1,60,18,25.188880535987856,0.8323713497876907,Expansion,120,70.6261301282,0.2426167855598638,88,0.8601780220663288,0.5632830374745854,1.3135602892698954,8.629807745843266,8.218825480551857
1,60,16,24.187381023968133,0.6519263407068582,Failure,,,,,,,,,
1,60,20,23.57414476698435,0.9362709787185161,Expansion,120,65.5474965009,0.03251159257036193,88,0.6742774513804675,0.44244066914421126,1.027595592239618,8.139129278875105,12.069004364181282
1,60,21,25.134141326176813,0.964113362941809,Expansion,120,66.740030072,0.39728954829393953,88,0.9457504823160259,0.6214530722849183,1.4392783859163525,6.072916889529616,10.1012309356592
1,60,9,25.839863044109354,0.039179350561765566,Failure,,,,,,,,,
1,60,13,24.646531669830914,0.30907298823794616,Failure,,,,,,,,,
1,60,9,18.23627563309902,0.039179350561765566,Failure,,,,,,,,,
1,60,11,24.800755460079944,0.1321586926495917,Failure,,,,,,,,,
1,60,16,20.003250573494498,0.6519263407068582,Failure,,,,,,,,,
1,60,16,18.880429736272934,0.6519263407068582,Failure,,,,,,,,,
1,60,16,22.590137380453,0.6519263407068582,Failure,,,,,,,,,
1,60,20,15.91828031022884,0.9362709787185161,Expansion,120,72.6240790026,0.016897210060052455,88,0.6355148608753634,0.4166795735259875,0.9692799072816642,6.19434506182907,11.351690881307793
1,60,22,20.242250012851986,0.9809875351983501,Success,,,,,,,,,
1,60,13,21.913164157459953,0.30907298823794616,Failure,,,,,,,,,
1,60,17,19.62337513209227,0.7513552232616026,Failure,,,,,,,,,
1,60,18,22.811535708766904,0.8323713497876907,Expansion,120,68.6924876869,0.5020525726852224,88,1.0011012611219594,0.658241081915809,1.5225481401177,8.788084056920125,8.772658057870085
1,60,18,20.03851338493671,0.8323713497876907,Expansion,120,68.6624031619,0.17055287496964233,88,0.815888891741224,0.5362709540642079,1.2413028873218097,6.9420690321541265,7.600615413540355
1,60,20,17.224449262886015,0.9362709787185161,Expansion,120,61.3679769944,0.4359494467643568,88,0.9661428367661002,0.6356371086302731,1.4684982490180427,5.567437918292348,9.012599262046528
1,60,15,22.45413057217814,0.5392402738114812,Failure,,,,,,,,,
1,60,15,19.677982811811123,0.5392402738114812,Failure,,,,,,,,,
1,60,17,20.528029929578587,0.7513552232616026,Failure,,,,,,,,,
1,60,15,19.833986006569035,0.5392402738114812,Failure,,,,,,,,,
1,60,10,20.57453572429959,0.07570694923912588,Failure,,,,,,,,,
1,60,16,19.78003118813402,0.6519263407068582,Failure,,,,,,,,,
1,60,13,21.23805394989409,0.30907298823794616,Failure,,,,,,,,,
1,60,17,20.430086733139966,0.7513552232616026,Failure,,,,,,,,,
1,60,15,19.824549256804453,0.5392402738114812,Failure,,,,,,,,,
1,60,14,21.895750471808867,0.4216548127032631,Failure,,,,,,,,,
1,60,15,18.581616678675168,0.5392402738114812,Failure,,,,,,,,,
1,60,17,21.36348880306875,0.7513552232616026,Failure,,,,,,,,,
